date,ticker,type,shares,price,reason
2021-03-04 00:00:00,005930.KS,BUY,1150,82600.0,EntryRule
2021-03-08 00:00:00,005930.KS,SELL,1150,82900.0,ExitRule
2021-03-19 00:00:00,005930.KS,BUY,1161,82100.0,EntryRule
2021-03-22 00:00:00,005930.KS,SELL,1161,82000.0,ExitRule
2021-04-05 00:00:00,005930.KS,BUY,1109,85800.0,EntryRule
2021-04-23 00:00:00,005930.KS,SELL,1109,81900.0,ExitRule
2021-06-04 00:00:00,005930.KS,BUY,1101,82700.0,EntryRule
2021-06-22 00:00:00,005930.KS,SELL,1101,80200.0,ExitRule
2021-06-30 00:00:00,005930.KS,BUY,1091,81100.0,EntryRule
2021-07-05 00:00:00,005930.KS,SELL,1091,80100.0,ExitRule
2021-08-05 00:00:00,005930.KS,BUY,1049,83300.0,EntryRule
2021-08-17 00:00:00,005930.KS,SELL,1049,74000.0,ExitRule
2021-09-06 00:00:00,005930.KS,BUY,1018,76800.0,EntryRule
2021-10-01 00:00:00,005930.KS,SELL,1018,73900.0,ExitRule
2021-11-04 00:00:00,005930.KS,BUY,1058,71200.0,EntryRule
2021-11-12 00:00:00,005930.KS,SELL,1058,70200.0,ExitRule
2021-11-16 00:00:00,005930.KS,BUY,1040,71500.0,EntryRule
2022-01-07 00:00:00,005930.KS,SELL,1040,78100.0,ExitRule
2022-02-21 00:00:00,005930.KS,BUY,1105,73200.0,EntryRule
2022-02-25 00:00:00,005930.KS,SELL,1105,72100.0,ExitRule
2022-05-09 00:00:00,005930.KS,BUY,1202,66300.0,EntryRule
2022-05-11 00:00:00,005930.KS,SELL,1202,65500.0,ExitRule
2022-05-19 00:00:00,005930.KS,BUY,1185,66500.0,EntryRule
2022-05-30 00:00:00,005930.KS,SELL,1185,67500.0,ExitRule
2022-06-03 00:00:00,005930.KS,BUY,1189,67200.0,EntryRule
2022-06-09 00:00:00,005930.KS,SELL,1189,65100.0,ExitRule
2022-07-14 00:00:00,005930.KS,BUY,1349,57500.0,EntryRule
2022-08-11 00:00:00,005930.KS,SELL,1349,59600.0,ExitRule
2022-10-11 00:00:00,005930.KS,BUY,1475,54400.0,EntryRule
2022-11-29 00:00:00,005930.KS,SELL,1475,59900.0,ExitRule
2023-01-11 00:00:00,005930.KS,BUY,1442,61000.0,EntryRule
2023-02-22 00:00:00,005930.KS,SELL,1442,61500.0,ExitRule
2023-03-23 00:00:00,005930.KS,BUY,1463,60600.0,EntryRule
2023-04-28 00:00:00,005930.KS,SELL,1463,65200.0,ExitRule
2023-05-08 00:00:00,005930.KS,BUY,1433,66300.0,EntryRule
2023-05-11 00:00:00,005930.KS,SELL,1433,64700.0,ExitRule
2023-05-22 00:00:00,005930.KS,BUY,1357,68400.0,EntryRule
2023-06-26 00:00:00,005930.KS,SELL,1357,71700.0,ExitRule
2023-06-28 00:00:00,005930.KS,BUY,1337,72600.0,EntryRule
2023-07-11 00:00:00,005930.KS,SELL,1337,70200.0,ExitRule
2023-07-18 00:00:00,005930.KS,BUY,1285,73200.0,EntryRule
2023-07-24 00:00:00,005930.KS,SELL,1285,70100.0,ExitRule
2023-09-04 00:00:00,005930.KS,BUY,1238,72900.0,EntryRule
2023-09-25 00:00:00,005930.KS,SELL,1238,68500.0,ExitRule
2023-10-19 00:00:00,005930.KS,BUY,1221,69700.0,EntryRule
2023-10-27 00:00:00,005930.KS,SELL,1221,67100.0,ExitRule
2023-11-06 00:00:00,005930.KS,BUY,1176,69800.0,EntryRule
2023-12-08 00:00:00,005930.KS,SELL,1176,72100.0,ExitRule
2023-12-13 00:00:00,005930.KS,BUY,1155,73300.0,EntryRule
2024-01-12 00:00:00,005930.KS,SELL,1155,73000.0,ExitRule
2024-02-05 00:00:00,005930.KS,BUY,1136,74200.0,EntryRule
2024-02-19 00:00:00,005930.KS,SELL,1136,72800.0,ExitRule
2024-03-15 00:00:00,005930.KS,BUY,1128,73400.0,EntryRule
2024-04-19 00:00:00,005930.KS,SELL,1128,78300.0,ExitRule
2024-05-10 00:00:00,005930.KS,BUY,1095,80400.0,EntryRule
2024-05-24 00:00:00,005930.KS,SELL,1095,76800.0,ExitRule
2024-06-17 00:00:00,005930.KS,BUY,1065,79200.0,EntryRule
2024-07-25 00:00:00,005930.KS,SELL,1065,80400.0,ExitRule
2024-08-22 00:00:00,005930.KS,BUY,1087,78700.0,EntryRule
2024-08-28 00:00:00,005930.KS,SELL,1087,75800.0,ExitRule
2024-11-26 00:00:00,005930.KS,BUY,1426,57900.0,EntryRule
2024-12-04 00:00:00,005930.KS,SELL,1426,52000.0,ExitRule
2024-12-18 00:00:00,005930.KS,BUY,1378,54100.0,EntryRule
2024-12-20 00:00:00,005930.KS,SELL,1378,52700.0,ExitRule
2025-01-08 00:00:00,005930.KS,BUY,1327,54800.0,EntryRule
2025-01-17 00:00:00,005930.KS,SELL,1327,53800.0,ExitRule
2025-02-12 00:00:00,005930.KS,BUY,1297,55100.0,EntryRule
2025-03-05 00:00:00,005930.KS,SELL,1297,55100.0,ExitRule
2025-03-19 00:00:00,005930.KS,BUY,1245,57400.0,EntryRule
2025-04-07 00:00:00,005930.KS,SELL,1245,53300.0,ExitRule
2025-04-30 00:00:00,005930.KS,BUY,1192,55900.0,EntryRule
2025-05-09 00:00:00,005930.KS,SELL,1192,54700.0,ExitRule
2025-05-14 00:00:00,005930.KS,BUY,1135,57500.0,EntryRule
2025-05-26 00:00:00,005930.KS,SELL,1135,53900.0,ExitRule
2025-06-04 00:00:00,005930.KS,BUY,1073,57200.0,EntryRule
2025-09-01 00:00:00,005930.KS,SELL,1073,68400.0,ExitRule
2025-09-11 00:00:00,005930.KS,BUY,994,73200.0,EntryRule
