Date,Open,High,Low,Close,Volume,등락률,Adj Close
2022-01-27,597000,598000,450000,505000,15946992,,505000
2022-01-28,476000,483000,445000,450000,4559773,-10.891089108910892,450000
2022-02-03,458000,495500,441000,477000,2918435,6.0,477000
2022-02-04,476500,505000,476000,504000,2088996,5.660377358490567,504000
2022-02-07,520000,548000,511000,548000,1911176,8.73015873015873,548000
2022-02-08,554000,577000,524000,542000,2583335,-1.094890510948905,542000
2022-02-09,550000,557000,505000,511000,2070704,-5.719557195571956,511000
2022-02-10,507000,507000,471500,474500,2306815,-7.142857142857142,474500
2022-02-11,463500,484000,457000,482000,1411055,1.5806111696522658,482000
2022-02-14,473000,482000,459500,463000,3285402,-3.941908713692946,463000
2022-02-15,460000,468000,450000,451500,825406,-2.4838012958963285,451500
2022-02-16,464000,465000,449500,455500,961669,0.8859357696566998,455500
2022-02-17,454500,460000,447000,454500,711183,-0.21953896816684962,454500
2022-02-18,448500,454500,448000,454500,418728,0.0,454500
2022-02-21,450000,453000,447500,453000,327509,-0.33003300330033003,453000
2022-02-22,444500,448000,440000,440000,557179,-2.869757174392936,440000
2022-02-23,443500,446000,438000,442000,381560,0.45454545454545453,442000
2022-02-24,435000,438000,416000,416500,883314,-5.769230769230769,416500
2022-02-25,425000,430000,418500,420000,465140,0.8403361344537815,420000
2022-02-28,404500,422000,404000,412000,970088,-1.9047619047619049,412000
2022-03-02,411000,434500,408500,434000,895460,5.339805825242718,434000
2022-03-03,439500,441000,430000,437000,460544,0.6912442396313364,437000
2022-03-04,433500,436500,427000,428500,310930,-1.9450800915331807,428500
2022-03-07,420500,421000,412000,414000,370588,-3.38389731621937,414000
2022-03-08,406000,417000,402500,410500,393413,-0.8454106280193237,410500
2022-03-10,421000,430500,417500,417500,1076446,1.705237515225335,417500
2022-03-11,411500,412000,390500,391000,1811373,-6.347305389221557,391000
2022-03-14,385000,385500,361500,363500,1999479,-7.033248081841433,363500
2022-03-15,363000,370000,355000,359500,1064506,-1.1004126547455295,359500
2022-03-16,367000,367500,360000,363500,625328,1.1126564673157162,363500
2022-03-17,374000,381500,373000,376000,816118,3.43878954607978,376000
2022-03-18,377500,384000,370500,382000,643915,1.5957446808510638,382000
2022-03-21,385000,397500,384000,386000,655247,1.0471204188481675,386000
2022-03-22,388500,399000,388000,397500,413972,2.9792746113989637,397500
2022-03-23,403000,407500,398000,407000,523438,2.3899371069182394,407000
2022-03-24,405000,410000,398000,408000,320746,0.2457002457002457,408000
2022-03-25,418500,444000,417500,439000,1528600,7.598039215686274,439000
2022-03-28,439000,443000,430000,436500,481311,-0.5694760820045558,436500
2022-03-29,443000,448500,440500,441000,375894,1.0309278350515463,441000
2022-03-30,444500,445000,427000,440500,440195,-0.11337868480725624,440500
2022-03-31,437000,444000,435000,442000,272318,0.340522133938706,442000
2022-04-01,438500,439500,425000,428000,456080,-3.167420814479638,428000
2022-04-04,422000,440500,417500,438500,362727,2.453271028037383,438500
2022-04-05,442500,450000,437000,449000,491410,2.394526795895097,449000
2022-04-06,436000,448500,436000,444500,415524,-1.0022271714922049,444500
2022-04-07,438000,442000,431000,436500,316409,-1.799775028121485,436500
2022-04-08,449000,449000,437500,439500,395489,0.6872852233676976,439500
2022-04-11,435000,435500,423500,425000,289205,-3.299203640500569,425000
2022-04-12,417000,421500,410000,411000,382240,-3.294117647058824,411000
2022-04-13,414000,431500,404000,431000,386194,4.866180048661801,431000
2022-04-14,434000,441000,427500,441000,321259,2.320185614849188,441000
2022-04-15,435500,445000,431500,435000,307347,-1.3605442176870748,435000
2022-04-18,434000,439500,432500,433000,115652,-0.45977011494252873,433000
2022-04-19,438000,441500,434000,435500,124432,0.5773672055427251,435500
2022-04-20,437500,438000,432000,436500,202657,0.2296211251435132,436500
2022-04-21,437500,440000,434500,437000,234128,0.11454753722794961,437000
2022-04-22,434000,437500,428500,436500,266806,-0.11441647597254005,436500
2022-04-25,430000,436000,428500,433000,254452,-0.8018327605956471,433000
2022-04-26,432000,432000,414500,423500,520529,-2.1939953810623556,423500
2022-04-27,399500,427000,397000,418000,1478354,-1.2987012987012987,418000
2022-04-28,420500,421000,412500,417500,358325,-0.11961722488038277,417500
2022-04-29,418000,426000,414000,417000,332582,-0.11976047904191617,417000
2022-05-02,412500,414500,407000,408500,365546,-2.038369304556355,408500
2022-05-03,409500,415000,406500,407500,254850,-0.24479804161566704,407500
2022-05-04,409500,410500,399500,401500,364195,-1.4723926380368098,401500
2022-05-06,395000,401500,390000,401500,350875,0.0,401500
2022-05-09,397000,400000,390000,394000,289113,-1.86799501867995,394000
2022-05-10,387500,398500,382000,393500,407928,-0.12690355329949238,393500
2022-05-11,394000,398000,391500,391500,239355,-0.5082592121982211,391500
2022-05-12,390000,395500,386000,388000,251570,-0.8939974457215836,388000
