Date,Close,High,Low,Open,Volume
2025-08-25,330000.0,336000.0,327500.0,329500.0,80781
2025-08-26,337500.0,344000.0,330000.0,331000.0,235586
2025-08-27,339000.0,340500.0,335500.0,338000.0,82185
2025-08-28,332000.0,339500.0,330000.0,337000.0,122414
2025-08-29,327500.0,336500.0,327500.0,333000.0,115347
2025-09-01,331000.0,337000.0,327500.0,329500.0,74207
2025-09-02,330000.0,334000.0,329000.0,331000.0,78055
2025-09-03,329000.0,330500.0,326500.0,327000.0,77851
2025-09-04,332500.0,334500.0,326000.0,326500.0,103632
2025-09-05,326000.0,332500.0,325500.0,329500.0,84009
2025-09-08,324500.0,327000.0,322000.0,327000.0,66412
2025-09-09,322500.0,324000.0,317000.0,323000.0,120874
2025-09-10,323000.0,326000.0,318000.0,320500.0,106648
2025-09-11,324500.0,324500.0,319000.0,322000.0,113540
2025-09-12,322500.0,325500.0,321000.0,323500.0,55516
2025-09-15,321500.0,326000.0,320000.0,320500.0,51818
2025-09-16,318500.0,322000.0,316500.0,320000.0,74129
2025-09-17,319500.0,320000.0,315000.0,316500.0,67356
2025-09-18,318500.0,320000.0,316000.0,319000.0,87149
2025-09-22,309000.0,317500.0,308000.0,317000.0,124371
2025-09-23,307500.0,310000.0,305000.0,306500.0,73219
2025-09-24,302500.0,310000.0,298500.0,309500.0,118511
2025-09-25,299500.0,0.0,0.0,0.0,0
