date,ticker,type,shares,price,reason
2021-02-18 00:00:00,000660.KS,BUY,739,128500.0,EntryRule
2021-03-15 00:00:00,000660.KS,SELL,739,141500.0,ExitRule
2021-03-18 00:00:00,000660.KS,BUY,730,142500.0,EntryRule
2021-03-24 00:00:00,000660.KS,SELL,730,133000.0,ExitRule
2021-04-06 00:00:00,000660.KS,BUY,663,147000.0,EntryRule
2021-04-19 00:00:00,000660.KS,SELL,663,138000.0,ExitRule
2021-04-20 00:00:00,000660.KS,BUY,673,136500.0,EntryRule
2021-04-21 00:00:00,000660.KS,SELL,673,138000.0,ExitRule
2021-06-01 00:00:00,000660.KS,BUY,730,127000.0,EntryRule
2021-06-23 00:00:00,000660.KS,SELL,730,122500.0,ExitRule
2021-07-01 00:00:00,000660.KS,BUY,703,127500.0,EntryRule
2021-07-05 00:00:00,000660.KS,SELL,703,123500.0,ExitRule
2021-08-09 00:00:00,000660.KS,BUY,740,117500.0,EntryRule
2021-08-11 00:00:00,000660.KS,SELL,740,109000.0,ExitRule
2021-09-06 00:00:00,000660.KS,BUY,761,106500.0,EntryRule
2021-09-28 00:00:00,000660.KS,SELL,761,105000.0,ExitRule
2021-10-27 00:00:00,000660.KS,BUY,776,103000.0,EntryRule
2022-01-21 00:00:00,000660.KS,SELL,776,121500.0,ExitRule
2022-02-10 00:00:00,000660.KS,BUY,725,129000.0,EntryRule
2022-03-02 00:00:00,000660.KS,SELL,725,124500.0,ExitRule
2022-03-24 00:00:00,000660.KS,BUY,748,121000.0,EntryRule
2022-03-29 00:00:00,000660.KS,SELL,748,119500.0,ExitRule
2022-05-17 00:00:00,000660.KS,BUY,805,111000.0,EntryRule
2022-05-27 00:00:00,000660.KS,SELL,805,105500.0,ExitRule
2022-07-13 00:00:00,000660.KS,BUY,901,94600.0,EntryRule
2022-08-04 00:00:00,000660.KS,SELL,901,98000.0,ExitRule
2022-10-11 00:00:00,000660.KS,BUY,982,89700.0,EntryRule
2022-10-31 00:00:00,000660.KS,SELL,982,84300.0,ExitRule
2022-11-14 00:00:00,000660.KS,BUY,885,93900.0,EntryRule
2022-11-24 00:00:00,000660.KS,SELL,885,86900.0,ExitRule
2023-01-09 00:00:00,000660.KS,BUY,909,84900.0,EntryRule
2023-02-23 00:00:00,000660.KS,SELL,909,90000.0,ExitRule
2023-03-27 00:00:00,000660.KS,BUY,932,87500.0,EntryRule
2023-04-25 00:00:00,000660.KS,SELL,932,87500.0,ExitRule
2023-05-03 00:00:00,000660.KS,BUY,917,89000.0,EntryRule
2023-05-11 00:00:00,000660.KS,SELL,917,86900.0,ExitRule
2023-05-18 00:00:00,000660.KS,BUY,859,92800.0,EntryRule
2023-06-29 00:00:00,000660.KS,SELL,859,115200.0,ExitRule
2023-07-04 00:00:00,000660.KS,BUY,829,118200.0,EntryRule
2023-07-10 00:00:00,000660.KS,SELL,829,111800.0,ExitRule
2023-07-18 00:00:00,000660.KS,BUY,791,117500.0,EntryRule
2023-07-27 00:00:00,000660.KS,SELL,791,115000.0,ExitRule
2023-07-28 00:00:00,000660.KS,BUY,722,126200.0,EntryRule
2023-08-14 00:00:00,000660.KS,SELL,722,114600.0,ExitRule
2023-08-31 00:00:00,000660.KS,BUY,687,121000.0,EntryRule
2023-09-12 00:00:00,000660.KS,SELL,687,115400.0,ExitRule
2023-09-18 00:00:00,000660.KS,BUY,661,120300.0,EntryRule
2023-09-25 00:00:00,000660.KS,SELL,661,115900.0,ExitRule
2023-10-11 00:00:00,000660.KS,BUY,624,123000.0,EntryRule
2023-11-01 00:00:00,000660.KS,SELL,624,117900.0,ExitRule
2023-11-07 00:00:00,000660.KS,BUY,558,132000.0,EntryRule
2023-11-30 00:00:00,000660.KS,SELL,558,129900.0,ExitRule
2023-12-01 00:00:00,000660.KS,BUY,549,132200.0,EntryRule
2023-12-07 00:00:00,000660.KS,SELL,549,125600.0,ExitRule
2023-12-15 00:00:00,000660.KS,BUY,505,137000.0,EntryRule
2024-01-10 00:00:00,000660.KS,SELL,505,137700.0,ExitRule
2024-01-24 00:00:00,000660.KS,BUY,496,140000.0,EntryRule
2024-02-01 00:00:00,000660.KS,SELL,496,133100.0,ExitRule
2024-02-13 00:00:00,000660.KS,BUY,451,146800.0,EntryRule
2024-03-21 00:00:00,000660.KS,SELL,451,165200.0,ExitRule
2024-03-25 00:00:00,000660.KS,BUY,435,170500.0,EntryRule
2024-04-22 00:00:00,000660.KS,SELL,435,170700.0,ExitRule
2024-05-14 00:00:00,000660.KS,BUY,403,184200.0,EntryRule
2024-07-18 00:00:00,000660.KS,SELL,403,212500.0,ExitRule
2024-08-20 00:00:00,000660.KS,BUY,428,198700.0,EntryRule
2024-08-30 00:00:00,000660.KS,SELL,428,171000.0,ExitRule
2024-09-27 00:00:00,000660.KS,BUY,393,187500.0,EntryRule
2024-11-05 00:00:00,000660.KS,SELL,393,193600.0,ExitRule
2024-11-08 00:00:00,000660.KS,BUY,379,200500.0,EntryRule
2024-11-14 00:00:00,000660.KS,SELL,379,182900.0,ExitRule
2024-12-12 00:00:00,000660.KS,BUY,395,176500.0,EntryRule
2024-12-27 00:00:00,000660.KS,SELL,395,170100.0,ExitRule
2025-01-06 00:00:00,000660.KS,BUY,365,184400.0,EntryRule
2025-02-06 00:00:00,000660.KS,SELL,365,202000.0,ExitRule
2025-02-19 00:00:00,000660.KS,BUY,340,216000.0,EntryRule
2025-02-28 00:00:00,000660.KS,SELL,340,191600.0,ExitRule
2025-03-19 00:00:00,000660.KS,BUY,324,202000.0,EntryRule
2025-04-03 00:00:00,000660.KS,SELL,324,189600.0,ExitRule
2025-04-29 00:00:00,000660.KS,BUY,339,182000.0,EntryRule
2025-07-22 00:00:00,000660.KS,SELL,339,273000.0,ExitRule
2025-08-14 00:00:00,000660.KS,BUY,328,277500.0,EntryRule
2025-08-22 00:00:00,000660.KS,SELL,328,245500.0,ExitRule
2025-09-01 00:00:00,000660.KS,BUY,312,259500.0,EntryRule
